acetylene;乙炔
lamb_stom;羔羊腹
largetubes;大型管
lattice;建筑楼梯
lavender;薰衣草
lead;铅
limonades;柠檬汁
live_catt_fr;活牛
live_cattle;活牛
liver_paste;肝酱
locomotive;火车头Vossloh G6
logs;原木
lpg;LPG
lumber;木料
magnesium;镁
maple_syrup;枫树糖浆
marb_blck2;大理石块
marb_blck;大理石块
marb_slab;大理石板
mason_jars;梅森罐
med_equip;医疗设备
med_vaccine;医用疫苗
mercuric;氯化汞
metal_beams;金属梁
metal_cans;金属罐
metal_center;金属拱架
metal_pipes;铁管
m_59_80_r63;巨型轮胎
milk;奶
mobile_crane;移动式起重机雷德45
mondeos;轿车
moto_tires;摩托车轮胎
motor_oil;机油
motor_oil_c;机油
motorcycles;摩托车
mozzarela;奶酪
mtl_coil;金属线圈
mystery_box;巨型高科技部件
mystery_cyl;高科技设备
natur_rubber;天然橡胶
neon;氖
nitrocel;硝化棉
nitrogen;氮
nonalco_beer;无醇啤酒
nuts;坚果
nylon_cord;尼龙绳
oil;油
oil_filt_c;机油滤清器
oil_filters;机油滤清器
olive_oil;橄榄油
olives;橄榄
onion;洋葱
oranges;橙子
ore;矿石
outdr_flr_tl;室外地砖
overweight;低平板半挂
packag_food;包装食品
paper;办公用纸
pasta;意大利面
pears;梨
peas;豌豆
perfor_frks;性能悬挂叉
pesticide;农药
pesto;香蒜酱
pet_food;宠物食品
pet_food_c;宠物食品
petrol;汽油
phosphor;白磷
pilot_boat;引航船
plant_substr;培养基
plast_film;塑料薄膜卷
plast_film_c;塑料薄膜卷
plastic_gra;塑料颗粒
plumb_suppl;水暖用品
plums;李子
pnut_butter;花生酱
polyst_box;聚苯乙烯盒
pork_meat;猪肉
post_packag;邮包
pot_flowers;盆栽花朵
potahydro;氢氧化钾
potassium;钾
potatoes;土豆
precast_strs;预制楼梯
press_sl_val;高压闸阀
princess;游艇女王V39
prosciutto;火腿
protec_cloth;防护服
pumps;泵
radiators;散热器
re_bars;钢筋
refl_posts;反光柱
rice;大米
rice_c;大米
roller;压路机DYNA CC2200
roof_tiles;屋面瓦
roofing_felt;屋面毡
rooflights;车顶灯
rye;黑麦
salm_fillet;三文鱼片
salt_spice_c;食盐和调料
salt_spices;食盐和调料
sand;沙子
sandwch_pnls;夹芯板
sausages;香肠
sawpanels;木屑板
scaffoldings;脚手架
scania_tr;卡车斯堪尼亚
scooters;滑板车
scrap_metals;废金属
seal_bearing;密封轴承
sheep_wool;羊毛
shock_absorb;减震器
silica;二氧化硅
silo;巨型筒仓
smokd_eel;熏鳗鱼
smokd_sprats;熏鲱鱼
sodchlor;次氯酸钠
sodhydro;氢氧化钠
sodium;钠
soy_milk;豆浆
spher_valves;球阀
sq_tub;方形管子
steel_cord;钢丝绳
stone_dust;石粉
stone_wool;岩棉
stones;石头
straw_bales;秸秆捆
sugar;糖
sulfuric;硫酸
tableware;餐具
tomatoes;西红柿
toys;玩具
tracks;履带
tractor;拖拉机
tractors;拖拉机
train_part2;火车转向架
train_part;火车车轴
transformat;变压器PK900
transmis;变速器
truck_batt;卡车电池
truck_batt_c;卡车电池
truck_rims;卡车轮毂
truck_rims_c;卡车轮毂
truck_tyres;卡车轮胎
tube;天然气管道部件
tyres;轮胎
used_battery;回收的汽车电池
used_packag;回收的包装
used_plast;回收的塑料
used_plast_c;回收的塑料
vent_tube;通风井
vinegar;醋
vinegar_c;醋
volvo_cars;豪华SUV
volvo_tr;卡车沃尔沃
wallpanels;墙板
watermelons;西瓜
wheat;小麦
windml_eng;风力涡轮机机舱
windml_tube;风力发电塔
wood_bark;树皮
wooden_beams;木梁
wrk_cloth;工作服
wshavings;刨花
yacht;游艇
yogurt;酸奶
young_seed;幼苗
aromatics;芳烃
bottles;空瓶子
bulldozer;推土机
butter;牛油
cable;线缆
caravan;caravan
carbn_pwdr;炭黑粉
carcomp;汽车零件
cars_big;Cars Big
cars_mix;Cars Mix
cars_small;Cars Small
case600;履带式拖拉机
cat627;铲运机
coil;金属线圈
colors;油漆
computers;计算机
const_house;简易房
ctubes;混凝土管
ctubes_b;混凝土管
curtains;窗帘
dry_fruit;干果
dry_milk;奶粉
electro_comp;电子元件
ethane;乙烷
ex_bucket;挖掘机铲斗(特殊)
excavator_bucket;挖掘机铲斗(特殊)
food;包装食品
frozen_food;冷冻食品
frozen_fruit;冷冻水果
frozen_veget;冷冻蔬菜
fruits;水果
grain;粮食
gypsum;石膏
hay;干草
heat_exchanger;换热器(特殊)
home_acc;家居饰品
house_pref;活动房
househd_appl;家用电器
kalmar240;叉车
kalmar240_s;叉车底盘
komatsu155;推土机
limestone;石灰石
lumber_b;木料
lye;碱液
m_59_80_r63;巨型轮胎(特殊)
machine_pts;机械零件
mbt;移动屏障
meat;肉
michelin_59_80_r63;巨型轮胎(特殊)
moor_buoy;船用系泊浮筒
mortar;砂浆
office_suppl;办公用品
pipes;铁管
plows;铲雪机
propane;丙烷
rawmilk;未加工的牛奶
roadroller;压路机
scrap_cars;报废车
soil;土壤
solvents;溶剂
terex3160;移动式起重机 — 雷德45
transformer;变压器 — PK900
tvs;电视机
used_pack;回收的包装
vegetable;蔬菜
ventilation;通风井
wirtgen250;铣刨机
